country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2019,99,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2020,98,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2021,99,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2022,98,Total,Units,%,Estimated value,,,12 to 23 months old
Andorra,AD,AND,20,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2023,99,Total,Units,%,Estimated value,,,12 to 23 months old
Angola,AO,AGO,24,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2018,50,Total,Units,%,Estimated value,,,12 to 23 months old
Angola,AO,AGO,24,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2019,51,Total,Units,%,Estimated value,,,12 to 23 months old
Angola,AO,AGO,24,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2020,44,Total,Units,%,Estimated value,,,12 to 23 months old
Angola,AO,AGO,24,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2021,36,Total,Units,%,Estimated value,,,12 to 23 months old
Angola,AO,AGO,24,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2022,37,Total,Units,%,Estimated value,,,12 to 23 months old
Angola,AO,AGO,24,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2023,50,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1988,95,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1989,95,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1990,89,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1991,87,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1992,99,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1993,99,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1994,91,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1995,93,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1996,99,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1997,93,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1998,99,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1999,99,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2000,95,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2001,97,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2002,99,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2003,99,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2004,97,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2005,99,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2006,99,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2007,99,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2008,99,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2009,99,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2010,98,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2011,99,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2012,98,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2013,96,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2014,93,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2015,91,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2016,88,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2017,99,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2018,96,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2019,93,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2020,89,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2021,85,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2022,99,Total,Units,%,Estimated value,,,12 to 23 months old
Antigua and Barbuda,AG,ATG,28,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2023,94,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1997,93,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1998,95,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1999,97,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2000,91,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2001,89,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2002,95,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2003,97,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2004,99,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2005,98,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2006,97,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2007,94,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2008,96,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2009,96,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2010,95,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2011,95,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2012,94,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2013,94,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2014,95,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2015,89,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2016,90,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2017,89,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2018,94,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2019,86,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2020,77,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2021,86,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2022,85,Total,Units,%,Estimated value,,,12 to 23 months old
Argentina,AR,ARG,32,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2023,80,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2002,91,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2003,94,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2004,92,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2005,94,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2006,92,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2007,92,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2008,94,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2009,96,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2010,97,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2011,97,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2012,97,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2013,97,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2014,97,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2015,97,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2016,97,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2017,96,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2018,95,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2019,95,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2020,94,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2021,94,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2022,95,Total,Units,%,Estimated value,,,12 to 23 months old
Armenia,AM,ARM,51,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2023,96,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1983,68,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1984,68,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1985,68,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1986,68,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1987,68,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1988,77,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1989,85,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1990,86,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1991,86,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1992,86,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1993,86,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1994,86,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1995,87,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1996,87,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1997,85,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1998,82,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1999,88,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2000,91,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2001,92,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2002,94,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2003,94,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2004,94,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2005,94,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2006,94,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2007,94,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2008,94,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2009,94,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2010,94,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2011,94,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2012,94,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2013,94,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2014,94,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2015,95,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2016,95,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2017,94,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2018,94,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2019,94,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2020,93,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2021,93,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2022,96,Total,Units,%,Estimated value,,,12 to 23 months old
Australia,AU,AUS,36,Percentage of surviving infants who received the first dose of rubella-containing vaccine,2023,91,Total,Units,%,Estimated value,,,12 to 23 months old
Austria,AT,AUT,40,Percentage of surviving infants who received the first dose of rubella-containing vaccine,1981,25,Total,Units,%,Estimated value,,,12 to 23 months old
